"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.869112044E0,-2.486610413E-1,-1.591712609E-2,-9.654554725E-1,9.970907369E-1
1.879112044E0,-2.704857290E-1,-1.185986097E-3,-9.668118358E-1,1.003936782E0
1.889112044E0,-2.928118706E-1,1.234958600E-2,-9.688484669E-1,1.012204849E0
1.899112044E0,-3.156319857E-1,2.382298931E-2,-9.713992476E-1,1.021669019E0
1.909112044E0,-3.402864635E-1,3.321506456E-2,-9.739756584E-1,1.032243528E0
1.919112044E0,-3.653348088E-1,4.095697775E-2,-9.766574502E-1,1.043554872E0
1.929112044E0,-3.922707736E-1,4.661862180E-2,-9.797650576E-1,1.056403911E0
1.939112044E0,-4.202319384E-1,5.013399571E-2,-9.832144380E-1,1.070429321E0
1.949112044E0,-4.478843510E-1,5.075786263E-2,-9.863667488E-1,1.084479652E0
1.959112044E0,-4.748756588E-1,5.127101019E-2,-9.903910160E-1,1.099549895E0
1.969112044E0,-5.024695396E-1,4.894588143E-2,-9.941768050E-1,1.115015183E0
1.979112044E0,-5.280065536E-1,4.661223665E-2,-9.977251887E-1,1.129787225E0
1.989112044E0,-5.461508632E-1,4.209611937E-2,-1.000733852E0,1.140842273E0
1.999112044E0,-5.569588542E-1,3.820174187E-2,-1.002695918E0,1.147633061E0
2.009112044E0,-5.643696785E-1,3.247941285E-2,-1.003491163E0,1.151764976E0
2.019112044E0,-5.682682991E-1,2.776314691E-2,-1.003129244E0,1.153242356E0
2.029112044E0,-5.676263571E-1,2.376762964E-2,-1.002048612E0,1.151896697E0
2.039112044E0,-5.615686774E-1,2.089315653E-2,-9.997575283E-1,1.146870097E0
2.049112044E0,-5.523841977E-1,1.991157793E-2,-9.968606830E-1,1.139849110E0
2.059112044E0,-5.396481752E-1,1.859783754E-2,-9.932910204E-1,1.130572016E0
2.069112044E0,-5.165959597E-1,-2.502920339E-3,-9.895861745E-1,1.116314672E0
2.079112044E0,-4.881812632E-1,-2.901939861E-2,-9.847772717E-1,1.099522326E0
2.089112044E0,-4.584006667E-1,-5.305957049E-2,-9.806305766E-1,1.083781720E0
2.099112044E0,-4.255837798E-1,-7.829318196E-2,-9.761389494E-1,1.067754009E0
2.109112044E0,-3.949812949E-1,-9.907029569E-2,-9.719613791E-1,1.053818803E0
2.119112044E0,-3.636697531E-1,-1.215465441E-1,-9.676198959E-1,1.040825401E0
2.129112044E0,-3.425519764E-1,-1.445944905E-1,-9.635902643E-1,1.032838623E0
2.139112044E0,-3.186331689E-1,-1.742473394E-1,-9.592232108E-1,1.025669732E0
2.149112044E0,-2.965039909E-1,-1.446466595E-1,-9.548732042E-1,1.010257447E0
2.159112044E0,-2.732175589E-1,-1.508363485E-1,-9.501878023E-1,1.000128141E0
2.169112044E0,-2.523542047E-1,-1.601368636E-1,-9.450765252E-1,9.912094119E-1
2.179112044E0,-2.332964540E-1,-1.604413539E-1,-9.399344325E-1,9.816544203E-1
2.189112044E0,-2.164424658E-1,-1.607543528E-1,-9.341951013E-1,9.723218552E-1
2.199112044E0,-1.774518341E-1,-1.607490182E-1,-9.294532537E-1,9.597982867E-1
2.209112044E0,-1.212718710E-1,-1.607554108E-1,-9.218487144E-1,9.435858313E-1
2.219112044E0,-7.903947681E-2,-1.607681811E-1,-9.157026410E-1,9.330621489E-1
2.229112044E0,-3.528787568E-2,-1.607596725E-1,-9.071558714E-1,9.219656618E-1
2.239112044E0,5.897991941E-4,-1.607692540E-1,-8.983195424E-1,9.125925165E-1
2.249112044E0,4.277321696E-2,-1.607564837E-1,-8.870058060E-1,9.024696643E-1
2.259112044E0,7.673244923E-2,-1.607426405E-1,-8.760913610E-1,8.940146185E-1
2.269112044E0,1.197750121E-1,-1.607383788E-1,-8.625259399E-1,8.855133410E-1
2.279112044E0,1.544209272E-1,-1.607426405E-1,-8.493257165E-1,8.780878042E-1
2.289112044E0,1.946880221E-1,-1.607373208E-1,-8.340963721E-1,8.714681120E-1
2.299112044E0,2.334093004E-1,-1.607394367E-1,-8.184773326E-1,8.661536885E-1
2.309112044E0,2.750369906E-1,-1.607351899E-1,-8.023951650E-1,8.633186829E-1
2.319112044E0,3.217673898E-1,-1.607351899E-1,-7.855678201E-1,8.639947074E-1
2.329112044E0,3.621303141E-1,-1.607458293E-1,-7.693930268E-1,8.654150541E-1
